Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bills_snowflake_decomp_auto1_log.txt:FS: 0.039 0.475 0.946 0.533 0.942 0.003 0.126 16 22 97.773 168 19 1 0 0.034 3 18 0.017 3 43 0.027 19 0.055 0.514 0.929 0.553 0.118 18 18 136.000 270 19 0.011 0 11 2 14.850 1.340781E156 3.186
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/binkar10_1_decomp_auto1_log.txt:FS: 0.018 0.812 0.863 0.940 1.000 0.000 0.012 4 10 293.600 563 18 0 0 0.023 1 19 0.005 1 18 0.018 10 0.030 0.812 0.863 0.940 0.012 10 10 293.600 563 18 0.002 0 0 0 6637.188 1.853 2.350
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/blend2_decomp_auto1_log.txt:FS: 0.006 0.713 0.986 0.723 1.000 0.000 0.065 4 74 4.838 5 2 0 0 0.001 2 1 0.001 1 4 0.001 2 0.005 0.713 0.986 0.723 0.065 74 74 4.838 5 2 0.003 0 0 0 7.044 7.879 0.315
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bley_xl1_decomp_auto1_log.txt:FS: 0.011 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 0.810 3 134 0.031 3 21 0.658 51 0.848 0.415 0.425 0.978 0.004 2 2 13088.500 18174 8003 0.364 1 10 60 187.580 6.621 42.743
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/blp_ar98_decomp_auto1_log.txt:FS: 0.214 0.584 0.951 0.614 1.000 0.000 0.098 15 539 41.998 3630 3 0 0 5.159 5 317 0.293 5 120 4.407 241 5.461 0.621 0.924 0.672 0.079 347 347 78.752 3702 3 3.603 3 86 213 6116.190 11.042 19.211
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/blp_ic97_decomp_auto1_log.txt:FS: 0.015 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 0.785 2 69 0.042 1 28 0.676 69 0.833 0.579 0.923 0.627 0.093 459 459 24.007 2207 2 0.732 0 2 67 3904.846 5.696 21.467
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/blp_ir98_decomp_auto1_log.txt:FS: 0.010 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 0.423 3 64 0.023 3 25 0.358 66 0.450 0.572 0.959 0.596 0.103 323 323 18.074 841 2 0.274 0 0 48 2280.183 4.148 2.568
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bnatt350_decomp_auto1_log.txt:FS: 0.059 0.087 0.500 0.989 0.175 0.087 0.002 2 2 6517.500 6520 6515 1 0 0.132 5 45 0.368 5 276 0.106 24 0.504 0.082 0.815 0.101 0.459 28 28 253.536 1905 3 0.376 3 195 35 0.000 1.340781E156 1697.803
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bnatt400_decomp_auto1_log.txt:FS: 0.065 0.073 0.494 0.984 0.151 0.095 0.003 2 2 7179.000 7951 6407 1 0 0.140 5 38 0.386 5 275 0.116 23 0.530 0.095 0.863 0.110 0.442 29 29 276.793 1924 3 0.381 3 183 31 0.000 1.340781E156 14.266
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/boa7_decomp_auto1_log.txt:FS: 0.001 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 0.004 1 4 0.000 0 2 0.003 4 0.011 0.077 0.320 0.240 0.286 2 2 1500.000 2400 600 0.011 0 1 4 -1775.697 1.340781E156 361.959
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/boa8_decomp_auto1_log.txt:FS: 0.006 0.486 0.984 0.494 1.000 0.000 0.141 3 61 5.000 5 5 0 0 0.001 2 1 0.000 1 1 0.001 2 0.008 0.486 0.984 0.494 0.141 61 61 5.000 5 5 0.007 0 0 0 0.016 2900.000 0.102
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/boa_mpo72_decomp_auto1_log.txt:FS: 0.038 0.077 0.993 0.078 1.000 0.000 0.511 2 135 299.815 300 285 0 0 0.048 2 1 0.100 2 26 0.043 2 0.160 0.875 0.958 0.913 0.018 29 29 4197.517 5986 2096 0.105 0 22 1 26.437 0.000 1.419
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bridge13_06APR28_decomp_auto1_log.txt:FS: 0.086 0.113 0.500 0.862 0.263 0.067 0.030 2 2 8172.000 8262 8082 1 0 0.089 1 33 0.005 1 7 0.073 14 0.099 0.138 0.523 0.263 0.267 3 3 4287.000 8266 2083 0.098 0 6 33 -13.000 23.077 834.439
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bsnf_decomp_auto1_log.txt:FS: 7.891 0.620 0.751 0.936 0.882 0.006 0.013 4 938 1015.111 253606 2 1 0 14.663 5 125 613.713 5 211 9.727 14 628.797 0.436 0.757 0.576 0.110 3786 3786 234.625 228710 2 628.643 5 210 125 89482764.235 5155.070 2314.850
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/buildingenergy_decomp_auto1_log.txt:FS: 4.231 0.917 0.950 0.999 0.966 0.002 0.000 22 26 30326.769 49660 2 1 0 17.414 5 155 54.891 5 1113 12.938 32 72.415 0.418 0.541 0.773 0.052 11 11 59021.909 417001 1421 20.058 1 203 56 -1.34078E154 1.340781E156 3399.248
