Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
ash608gpia_3col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,INFEASIBLE,,0.0000,,0,0.02,0.02
asml2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"1,100,611.0000","1,100,502.0000",0.0099%,6183,6.77,25.07
assign1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,1.6902,1.6902,0.0000%,1,7.24,10.09
atlanta_ip,0.879,0.51,0.675,0.999,0.757,0.014,0,4,4,41895.75,81685,26302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.401,152.544,3570.84,LIMIT,TIME_LIM_SOL,150.0138,59.4010,152.5441%,1,22.41,3596.16
atm20_100,0.131,0.838,0.95,0.882,1,0,0.025,2,20,1560.65,1793,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463113.334,0.021,103.837,SOLVED,OPTIMAL_RGAP,"2,463,561.0129","2,463,548.8801",0.0005%,3,4.11,216.98
atm_icic,0.795,0.822,0.948,0.867,1,0,0.028,2,20,10441.5,12726,3418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343761365.8,0,165.733,SOLVED,OPTIMAL,"2,343,761,365.8000","2,343,761,365.8000",0.0000%,1,2.95,175.35
atm_miplib2010,0.132,0.838,0.95,0.882,1,0,0.025,2,20,1559.95,1793,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463113.334,0.097,100.901,SOLVED,OPTIMAL_RGAP,"2,463,621.5773","2,463,548.8801",0.0030%,3,4.10,218.19
att532MTZ,0.83,0.726,0.857,0.988,0.858,0.008,0.003,7,538,2094.39,161184,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26625,62.336,3414.122,LIMIT,TIME_LIM_SOL,"43,221.9998","26,625.0000",62.3361%,1,3.91,3508.41
bab3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMIT,TIME_LIM_NOSOL,,"-666,217.5985",,2891,9.66,3599.81
bab5,0.429,0.548,0.94,0.675,0.863,0.007,0.078,15,50,942.92,5046,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107276.37,1.43,2096.227,LIMIT,TIME_LIM_SOL,"-105,923.3047","-107,276.3701",1.2613%,9,5.84,3597.45
bank_bad,0.323,0.981,0.996,0.984,1,0,0.003,3,320,2111.3,3776,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,32.998,SOLVED,OPTIMAL,9.0000,9.0000,0.0000%,1,1.79,36.09
bank_good,0.325,0.981,0.996,0.984,1,0,0.003,3,320,2111.3,3776,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31.987,SOLVED,OPTIMAL,31.0000,31.0000,0.0000%,1,1.81,37.16
batho_improved,1.262,0.648,0.819,0.792,0.999,0,0.047,4,7,29588.429,55669,3569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478.25,1.340781E156,36.017,LIMIT,TIME_LIM_NOSOL,,"1,478.2500",,127,2.98,3595.54
batho_orig,1.274,0.552,0.784,0.708,0.995,0,0.069,4,11,19141.364,61747,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478.25,1.340781E156,913.533,LIMIT,TIME_LIM_NOSOL,,"1,478.2500",,11,2.19,3594.89
