Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
golfrm_500_11123,0.125,0.787,0.998,0.788,1,0,0.048,17,500,27.292,29,15,0,0,0.116,2,33,0.014,1,19,0.095,18,0.138,0.787,0.998,0.788,0.048,500,500,27.292,29,15,0.006,0,0,0,-16222.667,3.647,1.917,LIMIT,TIME_LIM_SOL,"-15,839.0000","-16,101.8333",1.6323%,39930,0.25,3599.67
golfrm_500_4242,0.121,0.787,0.998,0.788,1,0,0.048,15,500,27.284,29,15,0,0,0.122,2,36,0.014,1,19,0.099,19,0.142,0.787,0.998,0.788,0.048,500,500,27.284,29,15,0.004,0,0,0,-16440,2.403,2.106,LIMIT,TIME_LIM_SOL,"-16,072.0000","-16,296.8333",1.3796%,43963,0.25,3599.69
golfrm_500_471123,0.123,0.787,0.998,0.788,1,0,0.048,10,500,27.42,29,15,0,0,0.201,4,45,0.031,3,40,0.17,28,0.245,0.787,0.998,0.788,0.048,500,500,27.42,29,15,0.012,0,0,0,-16656.667,1.901,1.761,LIMIT,TIME_LIM_SOL,"-16,406.0000","-16,531.6667",0.7602%,39522,0.25,3599.61
gt2,0.005,0.132,0.939,0.14,1,0,0.393,5,17,10.176,11,3,0,0,0.001,2,1,0,1,2,0,2,0.005,0.132,0.939,0.14,0.393,17,17,10.176,11,3,0.004,0,0,0,20146.761,5.059,0.077,SOLVED,OPTIMAL,"21,166.0000","21,166.0000",0.0000%,3,0.00,0.16
harp2,0.001,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0.019,2,21,0,1,0,0.014,21,0.024,0.366,0.972,0.376,0.196,68,68,15.221,125,3,0.022,0,0,16,-74325169.35,1.1,0.948,LIMIT,TIME_LIM_SOL,"-73,649,629.0000","-74,128,475.4800",0.6460%,119544,0.06,3599.95
hawaiiv10_130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMIT,OUTMEM_NOSOL,,-64112335302.0000,,1,640.05,785.30
heart,0.033,0.069,0.493,0.147,0.954,0.002,0.383,2,2,1039,1161,917,1,0,0.081,5,120,0.015,5,49,0.05,120,0.103,0.062,0.497,0.125,0.417,2,2,995.5,1074,917,0.006,0,0,0,180,1.340781E156,2.955,SOLVED,OPTIMAL,180.0000,180.0000,0.0000%,8,0.16,9.83
helm_shelf_150_45,0.446,0,0,0,0,0,0,-1,0,0,0,0,-1,0,114.933,3,492,2.477,3,41,88.744,164,117.546,0.299,0.75,0.399,0.184,4,4,599136,599136,599136,46.178,0,12,205,2796.862,4.043,381.791,LIMIT,TIME_LIM_SOL,"2,758.5697","2,796.6216",1.3606%,172,1.62,3480.23
helm_shelf_150_50,0.464,0,0,0,0,0,0,-1,0,0,0,0,-1,0,150.523,3,557,3.009,3,45,117.531,204,153.681,0.276,0.75,0.368,0.2,4,4,676292,676292,676292,59.954,0,14,224,2986.935,3.172,583.383,SOLVED,OPTIMAL_RGAP,"2,986.8157","2,987.0720",0.0086%,59,1.91,1596.61
helm_shelf_150_60,0.459,0,0,0,0,0,0,-1,0,0,0,0,-1,0,179.179,3,612,2.198,2,28,136.956,210,181.539,0.235,0.75,0.313,0.232,4,4,792543.5,794096,787886,70.349,0,13,232,3256.711,3.845,515.018,LIMIT,TIME_LIM_SOL,"3,187.1789","3,256.5163",2.1292%,95,2.52,3425.44
