Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
ns2070961,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.276,2,64,0.05,2,49,0.231,20,0.333,0.575,0.792,0.727,0.064,5,5,3380.6,4271,2603,0.329,1,45,64,20.984,2792.633,79.688,LIMIT,TIME_LIM_SOL,607.0000,59.0000,928.8136%,503,2.89,3599.66
ns2071214,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.398,5,117,0.109,5,122,0.329,36,0.511,0.564,0.726,0.776,0.051,4,4,3365.75,5025,2389,0.197,0,24,37,21.686,2602.182,795.873,LIMIT,TIME_LIM_SOL,586.0000,53.2770,999.9114%,49,2.72,3599.49
ns2081729,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.007,2,3,0.001,1,2,0.006,3,0.011,0.552,0.667,0.828,0.038,3,3,1858.333,1878,1834,0.007,0,0,2,4.95,102.02,3599.438,LIMIT,TIME_LIM_SOL,10.0000,4.9500,102.0202%,1,0.46,3600.05
ns2082847,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.023,4,23,0.002,3,7,0.018,26,0.03,0.168,0.949,0.177,0.346,43,43,12.302,96,4,0.019,0,0,11,112116328864,1.066,0.23,LIMIT,TIME_LIM_SOL,113189577627.0000,112423215045.0000,0.6817%,140537,0.05,3599.96
ns2118727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,INFEASIBLE,,"10,234.0482",,1,5.01,185.17
ns2122603,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3.878,5,263,2.707,5,556,3.152,60,6.602,0.646,0.73,0.885,0.024,10,10,7038.6,26117,2,6.509,4,529,263,393.679,14878581.486,3490.837,LIMIT,TIME_LIM_SOL,"58,574,295.0000",393.6793,14878580%,1,6.74,3593.47
ns2164569,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.857,5,128,1.468,5,272,1.501,31,3.341,0.37,0.666,0.556,0.117,3,3,17478,18625,16295,3.333,4,270,128,3.85,809.084,3482.002,LIMIT,TIME_LIM_SOL,35.0000,3.8500,809.0840%,1,1.79,3597.11
ns2267839,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.786,5,275,0.037,5,55,0.623,225,0.83,0.015,0.762,0.019,0.788,9,9,292,1009,8,0.723,2,27,223,2.357,3124.107,36.763,LIMIT,TIME_LIM_SOL,76.0000,3.9777,1810.6690%,181,0.14,3599.31
ns2319318,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3.159,5,155,331.858,5,372,1.936,29,335.327,0.036,0.586,0.061,0.559,3,3,36648,59002,14853,334.563,4,370,155,0,1.340781E156,491.412,ERROR,FAIL_NOSOL,,,,,,
ns2319914,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6.085,5,347,127.81,5,322,3.862,82,134.069,0.024,0.664,0.036,0.667,4,4,19763.25,32048,6979,102.9,2,222,292,0,1.340781E156,181.865,ERROR,FAIL_NOSOL,,,,,,
ns2326618,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.042,3,11,0.026,2,63,0.038,8,0.072,0.728,0.982,0.741,0.06,64,64,62.875,244,60,0.033,0,0,9,4,1.340781E156,12.896,LIMIT,TIME_LIM_NOSOL,,4.0000,,2672,0.84,3600.32
ns2350781,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.509,5,115,0.074,5,117,0.438,60,0.591,0.453,0.747,0.607,0.1,4,4,4281.75,4861,3510,0.586,4,108,115,0,1.1993688E13,315.972,LIMIT,TIME_LIM_SOL,12.0000,0.0000,1.2E13%,148,0.15,3599.44
ns2369235,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.035,2,10,0,1,1,0.031,6,0.039,0.639,0.667,0.958,0.009,3,3,2541.667,2553,2535,0.032,0,0,9,8.75,2.322,431.915,SOLVED,OPTIMAL,8.8281,8.8281,0.0000%,7,0.34,1029.00
ns2382816,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.013,2,15,0.002,1,7,0.01,15,0.018,0.354,0.774,0.457,0.157,6,6,162.333,293,16,0.016,0,3,15,0,127517031277,9.357,LIMIT,TIME_LIM_SOL,0.0170,0.0000,1.698E10%,651,0.07,3599.97
ns2394796,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.126,2,45,0.011,2,14,0.096,15,0.14,0.111,0.495,0.225,0.298,2,2,6289.5,6914,5665,0.127,0,11,42,26,1.340781E156,467.634,LIMIT,TIME_LIM_NOSOL,,26.0000,,8,1.81,3599.89
ns2441809,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11.733,5,915,2.878,5,946,9.758,226,14.623,0.484,0.771,0.627,0.093,10,10,3289.2,10074,2,11.556,3,668,727,-46345801.05,1.340781E156,3522.862,LIMIT,TIME_LIM_NOSOL,,"-46,345,801.0500",,1,12.48,3585.34
ns2494475,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.113,2,31,0.15,2,105,0.092,12,0.267,0.199,0.286,0.696,0.073,7,7,1723.571,10106,3,0.156,0,42,21,0,1.340781E156,348.088,LIMIT,TIME_LIM_NOSOL,,0.0000,,61,0.33,3602.81
ns25pr12,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.186,2,35,0.003,2,5,0.166,19,0.194,0.797,0.979,0.814,0.041,72,72,131.931,749,116,0.188,0,3,35,53525.944,0.708,10.62,SOLVED,OPTIMAL_RGAP,"53,905.0000","53,899.9954",0.0093%,1587,0.08,835.16
ns2844866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,0,0.24,0.24
ns29903,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.593,3,10,16.534,2,529,1.398,5,18.2,0.282,0.667,0.424,0.172,511,511,731.524,215709,310,1.185,0,5,4,-999.092,1.340781E156,3482.649,LIMIT,TIME_LIM_NOSOL,,-999.0924,,1,4.75,3581.89
ns2996139,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2.187,5,290,0.717,4,196,1.708,65,2.912,0.73,0.842,0.868,0.028,11,11,3697.364,10916,800,2.312,2,139,239,-31201.534,6.701,3580.077,LIMIT,TIME_LIM_SOL,"-29,110.7402","-31,201.5343",6.7009%,1,0.94,3597.01
ns3134812,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.322,3,47,0.03,3,19,0.269,13,0.357,0.292,0.581,0.502,0.138,4,4,7506,18189,3889,0.193,0,4,31,-1197.37,11.894,3419.908,LIMIT,TIME_LIM_SOL,"-1,054.9609","-1,197.3704",11.8935%,1,16.48,3600.16
ns3337549,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2.637,5,793,0.478,4,462,2.119,471,3.122,0.131,0.899,0.146,0.385,347,347,6.205,567,3,2.985,3,337,793,0.283,1.340781E156,2831.5,LIMIT,TIME_LIM_NOSOL,,0.2835,,2,2.24,3597.14
ns3360030,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.515,4,10,0.348,3,74,0.465,7,0.879,0.714,0.963,0.741,0.06,30,30,3543.467,9729,2857,0.809,2,73,10,-26.54,35.946,731.125,LIMIT,TIME_LIM_SOL,-17.0000,-21.9110,22.4134%,95,2.44,3598.85
ns3555904,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2.885,2,85,0.686,2,99,2.42,22,3.591,0.764,0.866,0.882,0.025,8,8,16421.125,25720,9261,2.53,0,40,54,-40.95,38.217,3535.742,LIMIT,TIME_LIM_SOL,-25.3000,-40.9500,38.2173%,1,53.20,3596.14
ns3633010,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.966,5,251,0.233,5,175,0.765,94,1.205,0.26,0.837,0.31,0.234,9,9,1482,4163,674,1.197,4,168,251,54.04,1.340781E156,3567.755,LIMIT,TIME_LIM_NOSOL,,54.0398,,1,1.44,3598.80
ns3759040,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,71.205,5,1024,105.688,5,1516,45.593,76,176.996,0.33,0.697,0.473,0.15,114,114,4711.14,221835,2,106.939,2,1239,518,144.685,1.340781E156,3189.499,LIMIT,TIME_LIM_NOSOL,,144.6846,,1,1.80,3421.33
ns3974959,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.311,2,14,0.078,2,7,1.173,8,1.418,0.984,0.992,0.992,0.002,130,130,2319.992,2396,2299,1.175,0,0,11,119,1.340781E156,151.962,SOLVED,INFEASIBLE,,,,1,2.26,297.33
ns4165869,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.396,4,16,0.13,3,55,0.359,10,0.534,0.846,0.971,0.872,0.027,44,44,1319.955,4458,615,0.223,0,24,7,291.331,0.573,3370.356,LIMIT,TIME_LIM_SOL,293.0000,291.3307,0.5730%,3,5.96,3599.39
ns4228793,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.969,2,9,0.007,1,0,0.824,4,1.015,0.895,0.944,0.947,0.011,18,18,20203.278,20208,20203,0.785,0,0,7,0,1.340781E156,3546.6,LIMIT,TIME_LIM_NOSOL,,0.0000,,1,3.84,3598.94
ns43503,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.078,2,9,0.026,1,19,0.067,4,0.11,0.795,0.871,0.912,0.018,9,9,3576,5074,1568,0.089,0,17,9,-400,0,31.951,SOLVED,OPTIMAL,-400.0000,-400.0000,0.0000%,1,0.80,38.55
ns4636843,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.425,3,173,0.039,3,19,1.118,81,1.47,0.032,0.5,0.064,0.551,2,2,13248,13248,13248,1.39,1,12,165,0,7E12,63.754,LIMIT,TIME_LIM_SOL,7.0000,0.0000,7E12%,48,0.36,3598.52
ns476799,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.01,2,23,1.034,1,114,0.841,5,2.07,0.954,0.971,0.983,0.004,34,34,5732.5,5941,5684,1.877,0,112,23,75000,1.340781E156,3484.153,LIMIT,TIME_LIM_NOSOL,,"75,000.0000",,1,2.04,3597.83
