Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
acc3,0.091,0.087,0.499,0.893,0.194,0.082,0.023,2,2,5698,5948,5448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.37,11.12
acc4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.38,6.28
acc6,0.05,0.183,0.843,0.413,0.525,0.032,0.177,5,101,51.802,1005,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,14.674,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,49,0.58,328.80
acc_tight4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,1,0.40,6.29
acc_tight5,0.054,0.026,0.487,0.695,0.076,0.129,0.073,2,51,124.608,3879,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,446.485,LIMIT,TIME_LIM_NOSOL,,0.0000,,13,0.61,3599.88
acc_tight6,0.05,0.183,0.843,0.413,0.525,0.032,0.177,5,101,51.802,1005,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,14.714,SOLVED,OPTIMAL,0.0000,0.0000,0.0000%,49,0.60,328.95
actv10a_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"4,667,351.1959","4,667,308.0414",0.0009%,1,10.46,98.84
aflow30a,0.027,0.283,0.818,0.399,0.867,0.007,0.184,3,204,7.485,502,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104.187,5.145,6.177,LIMIT,TIME_LIM_SOL,"1,159.0000","1,152.4570",0.5677%,4299,0.05,3599.93
aflow40b,0.062,0.638,0.932,0.694,0.985,0.001,0.073,8,54,91.907,600,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089.51,11.885,7.074,LIMIT,TIME_LIM_SOL,"1,219.0000","1,130.8500",7.7950%,17173,0.14,3599.92
afpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"27,300.0000","27,300.0000",0.0000%,1,0.13,0.22
air03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"340,160.0000","340,160.0000",0.0000%,1,0.51,0.85
air04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"56,137.0000","56,137.0000",0.0000%,272,4.96,24.81
air05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"26,374.0000","26,372.5600",0.0055%,525,2.69,22.91
airland4_R3,0.032,0.025,0.493,1,0.05,0.15,0,2,2,2619.5,2934,2305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,326.087,68.145,SOLVED,OPTIMAL_RGAP,130.0000,130.0000,0.0000%,27,0.05,713.08
