Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
binkar10_1,0.003,0.812,0.863,0.94,1,0,0.012,4,10,293.6,563,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6637.188,1.853,2.364,LIMIT,TIME_LIM_SOL,"6,749.0399","6,679.6270",1.0392%,80825,0.07,3599.96
blend2,0.001,0.713,0.986,0.723,1,0,0.065,4,74,4.838,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.044,7.879,0.448,SOLVED,OPTIMAL,7.5990,7.5990,0.0000%,264,0.04,3.55
bley_xl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,190.0000,190.0000,0.0000%,1,14.95,21.20
blp_ar98,0.032,0.563,0.841,0.669,1,0,0.08,4,400,69.443,8011,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6113.885,7.919,53.689,LIMIT,TIME_LIM_SOL,"6,393.2912","6,138.4894",4.1509%,1631,2.20,3598.84
blp_ic97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMIT,TIME_LIM_SOL,"4,076.6195","3,970.0692",2.6838%,366242,1.74,3599.93
blp_ir98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"2,342.3155","2,342.2597",0.0024%,2172,2.31,19.31
bmik_250_10_100_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"-69,938.0000","-69,938.0000",0.0000%,1601,0.08,0.96
bmik_500_10_100_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"-67,910.0000","-67,910.0000",0.0000%,9952,0.37,5.81
bmik_500_5_75_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"-51,638.0008","-51,638.0008",0.0000%,2137,0.33,2.77
bnatt350,0.009,0.014,0.749,0.984,0.019,0.198,0.003,4,4,3253.75,3512,2988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,161.543,LIMIT,TIME_LIM_NOSOL,,0.0000,,30,0.46,3599.86
bnatt400,0.01,0.009,0.748,0.984,0.013,0.218,0.003,4,5,2871.6,4163,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,226.123,LIMIT,TIME_LIM_NOSOL,,0.0000,,16,0.52,3599.88
boa7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMIT,TIME_LIM_SOL,"-1,768.0000","-1,774.6262",0.3734%,8315711,0.19,3600.00
boa8,0.001,0.486,0.984,0.494,1,0,0.141,4,61,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,2900,0.116,LIMIT,TIME_LIM_SOL,0.4800,0.1600,200.0000%,150630,0.06,3599.99
boa_mpo72,0.009,0.077,0.993,0.078,1,0,0.511,4,135,299.815,300,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.438,0.001,0.723,SOLVED,OPTIMAL_RGAP,26.4374,26.4376,0.0007%,1,1.44,5.46
bridge13_06APR28,0.009,0.012,0.749,0.862,0.018,0.2,0.03,4,4,4086,4333,3749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,23.077,2490.473,LIMIT,TIME_LIM_SOL,-10.0000,-13.0000,23.0769%,2,0.86,3599.84
bsnf,0.772,0.62,0.751,0.936,0.882,0.006,0.013,4,938,1015.111,253606,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89482764.235,5155.069,3585.681,LIMIT,TIME_LIM_SOL,"4,702,381,347.9000","89,482,764.2350",5155.0690%,1,7.87,3596.89
buildingenergy,0.42,0.746,0.75,1,0.995,0,0,4,6,131478.667,207579,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34078E154,1.340781E156,3561.556,LIMIT,TIME_LIM_SOL,"77,405.3141",,,1,6.59,3589.86
c10400,0.001,0.883,0.998,0.885,1,0,0.024,4,400,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18342.427,0.166,0.503,LIMIT,TIME_LIM_SOL,"-18,334.0000","-18,340.3949",0.0349%,79759,0.19,3599.84
c801600,0.02,0.788,0.999,0.788,1,0,0.048,4,1600,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79744.99,0.063,34.301,LIMIT,TIME_LIM_SOL,"-79,715.0000","-79,744.6563",0.0372%,8285,1.80,3597.61
cap6000,0.001,0.994,0.999,0.994,1,0,0.001,4,1719,2.513,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2451537.325,0.024,1.225,SOLVED,OPTIMAL_RGAP,"-2,451,256.0000","-2,451,467.5030",0.0086%,3,0.16,2.14
cardinal,0.001,0.091,0.791,0.149,0.771,0.013,0.381,4,5,27.2,32,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143548.716,3.094,1.124,LIMIT,TIME_LIM_SOL,"147,990.2538","143,624.5371",3.0397%,92003,0.00,3599.98
cdma,0.047,0.426,0.75,0.711,0.799,0.011,0.068,4,19,5247.474,24998,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.20502E16,98.804,3583.751,LIMIT,TIME_LIM_SOL,-383200000000000.0,-32050200000000000,98.8044%,1,13.95,3599.00
censusmtz,0.008,0.2,0.753,0.805,0.33,0.055,0.043,4,6,707,1091,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,24.719,16.534,LIMIT,TIME_LIM_SOL,5.7875,4.7413,22.0640%,238,0.08,3599.96
cflp_m1_d_004_i3,0.03,0.788,0.999,0.788,1,0,0.048,4,2000,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68405185.978,203.125,37.97,LIMIT,TIME_LIM_SOL,"90,265,375.5100","77,861,758.3630",15.9303%,4121,0.56,3598.96
cflp_m1_d_006_i2,0.003,0.175,0.993,0.176,1,0,0.348,4,150,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2479431.122,3.028,8.767,SOLVED,OPTIMAL_RGAP,"2,554,496.4100","2,554,459.4956",0.0014%,215,0.22,29.27
cflp_m1_d_007_i3,0.002,0.56,0.995,0.563,1,0,0.115,4,200,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821299.605,10.048,1.669,SOLVED,OPTIMAL,"3,104,771.4200","3,104,771.4200",0.0000%,67,0.05,13.17
cflp_m1_d_008_i5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL_RGAP,"16,696,961.5100","16,695,292.0090",0.0100%,9403,0.84,725.59
cflp_m1_d_009_i1,0.004,0.47,0.997,0.471,1,0,0.15,4,350,62,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11399055.367,14.756,10.441,SOLVED,OPTIMAL_RGAP,"12,889,635.3800","12,889,634.6180",0.0000%,1199,0.20,107.07
cflp_m1_d_010_i4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"514,905.2000","514,905.2000",0.0000%,1,0.01,0.15
charmS,0.007,0.872,0.911,0.995,0.962,0.002,0.001,4,23,1785.87,9707,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525.714,256.335,24.169,SOLVED,OPTIMAL_RGAP,"2,818.7143","2,818.7143",0.0000%,53,0.66,872.30
chrom_1024,0.108,0.746,0.749,0.999,0.997,0,0,4,4,67569,74148,61780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.333,3593.243,LIMIT,TIME_LIM_SOL,4.0000,3.0000,33.3333%,1,5.61,3599.26
chrom_256,0.026,0.737,0.75,0.996,0.987,0.001,0.001,4,4,16881,17928,16108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.333,885.932,ERROR,FAIL_SOL,4.0000,3.0000,33.3333%,1,0.72,892.67
chrom_512,0.053,0.743,0.749,0.998,0.994,0,0,4,4,33777,36132,30364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.333,3597.256,LIMIT,TIME_LIM_SOL,4.0000,3.0000,33.3333%,1,2.12,3599.65
circ10_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMIT,TIME_LIM_NOSOL,,140.0000,,4081,6.07,3599.90
cls_T90_C2_F1000_S1,0.002,0.016,0.421,0.289,0.134,0.101,0.248,4,53,17.755,703,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53621.655,0.97,9.321,LIMIT,TIME_LIM_SOL,"54,104.0000","54,073.0206",0.0573%,26110,0.09,3599.99
cls_T90_C3_F100_S2,0.003,0,0.62,0.605,0,0.628,0.101,4,25,112.28,1550,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130774.977,6.938,44.384,LIMIT,TIME_LIM_SOL,"138,189.0000","133,571.5092",3.4569%,1783,0.06,3600.04
co_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMIT,TIME_LIM_SOL,"2,640,892.3510","2,620,584.1719",0.7749%,76486,95.21,3599.92
cod105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,-12.0000,-12.0000,0.0000%,7,0.12,35.46
cod105r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,-11.0000,-11.0000,0.0000%,11,0.11,15.26
cod83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,-20.0000,-20.0000,0.0000%,187,0.01,1.53
cod83r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,-19.0000,-19.0000,0.0000%,391,0.01,2.19
