Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
bmik_500_10_100_5,0.002,0.036,0.749,0.839,0.057,0.143,0.035,4,4,600.75,676,570,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68080.857,0.251,8.139,,,,,,,,
bmik_500_5_75_4,0.001,0.065,0.73,0.801,0.112,0.11,0.044,4,4,261.75,360,184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51905.625,0.516,1.321,,,,,,,,
bnatt350,0.01,0.011,0.749,0.987,0.015,0.21,0.003,4,5,2728.8,3631,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,118.515,LIMIT,TIME_LIM_NOSOL,,0.0000,,25,0.46,3599.99
bnatt400,0.011,0.011,0.747,0.987,0.015,0.21,0.003,4,5,3000.6,4488,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340781E156,302.262,LIMIT,TIME_LIM_NOSOL,,0.0000,,15,0.51,3600.03
boa8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,0.4800,0.4800,0.0000%,1,0.06,0.08
boa_mpo72,0.005,0.09,0.946,0.096,1,0,0.47,4,38,638.447,2808,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.437,0.005,2.445,SOLVED,OPTIMAL_RGAP,26.4362,26.4374,0.0046%,1,1.52,22.95
bridge13_06APR28,0.009,0.009,0.749,0.853,0.015,0.211,0.032,4,4,4120.25,4353,3752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,15.385,3380.021,LIMIT,TIME_LIM_SOL,-11.0000,-13.0000,15.3846%,2,0.85,3599.96
bsnf,0.8,0.62,0.75,0.941,0.878,0.007,0.012,4,652,1577.85,280228,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103556882.89,4427.907,2630.63,LIMIT,TIME_LIM_SOL,"4,688,959,340.4000","103,556,882.8900",4427.9070%,1,7.87,3597.17
buildingenergy,0.501,0.736,0.75,0.999,0.983,0.001,0,4,5,176777.2,230744,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33283.619,132.557,2047.759,LIMIT,TIME_LIM_SOL,"77,403.4353","33,283.6194",132.5571%,1,6.53,3598.76
c10400,0.004,0.721,0.946,0.762,1,0,0.054,4,316,12.927,935,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18341.262,0.083,0.706,,,,,,,,
c801600,0.148,0.575,0.987,0.583,1,0,0.108,4,1423,90.076,14418,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79743.628,0.066,30.897,LIMIT,TIME_LIM_SOL,"-79,731.0000","-79,743.5264",0.0157%,2199,1.81,3599.44
cap6000,0.001,0.511,0.97,0.527,1,0,0.128,4,34,2.059,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2451503.203,0.013,0.062,SOLVED,OPTIMAL_RGAP,"-2,451,239.0000","-2,451,464.7070",0.0092%,3,0.17,0.66
cardinal,0.001,0.165,0.753,0.368,0.595,0.026,0.2,4,5,59.8,110,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143676.981,3.002,12.289,LIMIT,TIME_LIM_SOL,"147,990.2863","143,676.9812",3.0021%,585,0.00,3599.98
cdma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMIT,TIME_LIM_SOL,-383200000000000.0,-6.51749E17,99.9412%,1,13.92,3599.93
censusmtz,0.008,0.19,0.754,0.76,0.33,0.055,0.055,4,8,559.625,1208,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.921,15.317,14.196,LIMIT,TIME_LIM_SOL,5.6742,4.9396,14.8721%,191,0.08,3600.01
cflp_m1_d_004_i3,0.06,0.795,0.907,0.877,1,0,0.026,4,904,225.015,41852,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73036146.31,40.448,182.432,LIMIT,TIME_LIM_SOL,"102,577,844.7800","73,825,527.7300",38.9463%,42,0.56,3599.39
cflp_m1_d_006_i2,0.002,0.239,0.981,0.243,1,0,0.283,4,113,107.133,1070,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528780.733,1.017,10.478,,,,,,,,
cflp_m1_d_007_i3,0.002,0.647,0.915,0.713,0.992,0,0.068,4,96,57.5,936,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3094631.969,0.328,6.587,SOLVED,OPTIMAL,"3,104,770.5721","3,104,770.5721",0.0000%,9,0.05,9.00
cflp_m1_d_008_i5,0.014,0.144,0.986,0.146,1,0,0.385,4,116,18.724,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16615036.769,0.624,113.513,,,,,,,,
cflp_m1_d_009_i1,0.023,0.637,0.823,0.796,0.973,0.001,0.046,4,42,560.762,5406,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12792951.165,4.2,41.51,SOLVED,OPTIMAL_RGAP,"12,889,635.3800","12,888,411.4440",0.0095%,139,0.20,1064.65
charmS,0.007,0.864,0.91,0.995,0.954,0.002,0.001,4,19,2558.474,10784,912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818.714,6.229,77.504,SOLVED,OPTIMAL,"2,818.7143","2,818.7143",0.0000%,6,0.67,168.48
chrom_1024,0.106,0.746,0.749,0.999,0.997,0,0,4,4,67569,74148,61780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.333,3054.048,LIMIT,TIME_LIM_SOL,4.0000,3.0000,33.3333%,1,5.62,3599.44
chrom_256,0.026,0.737,0.75,0.996,0.987,0.001,0.001,4,4,16881,17928,16108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.333,887.155,ERROR,FAIL_SOL,4.0000,3.0000,33.3333%,1,0.69,937.21
chrom_512,0.053,0.743,0.749,0.998,0.994,0,0,4,4,33777,36132,30364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.333,3459.629,LIMIT,TIME_LIM_SOL,4.0000,3.0000,33.3333%,1,2.13,3599.71
