Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
disney_ara_sport,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,157.073,5,573,99.17,5,400,71.883,32,256.817,0.681,0.966,0.705,0.07,861,861,4650.884,680450,2,256.584,4,399,573,1530.814,7.696,3069.734,LIMIT,TIME_LIM_SOL,"1,413.0000","1,530.8145",7.6962%,1,7.60,3338.63
disney_ara_sport_symmetry,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,160.067,5,521,96.636,5,356,78.075,30,257.333,0.857,0.994,0.862,0.03,1622,1622,2776.469,111902,2,172.699,0,99,490,1429,0.28,586.272,SOLVED,OPTIMAL,"1,429.0000","1,429.0000",0.0000%,2,3.95,990.86
disneyara_eq_30,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,101.383,5,260,80.158,4,500,72.894,48,181.839,0.523,0.891,0.587,0.106,780,780,1747.038,446839,18,72.293,0,38,156,-1268,26.577,3224.141,LIMIT,TIME_LIM_SOL,-931.0000,"-1,268.0000",26.5773%,1,6.40,3415.73
disneyara_eq_31,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,375.123,4,497,92.154,4,76,226.168,77,467.998,0.728,0.997,0.73,0.063,2116,2116,1616.784,168820,27,465.183,2,74,497,-1975,5.722,379.352,LIMIT,TIME_LIM_SOL,"-1,862.0000","-1,975.0000",5.7215%,16,10.37,3158.14
disneyara_eq_32,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,313.968,5,526,111.087,5,227,197.913,89,425.631,0.657,0.936,0.702,0.071,1344,1344,2118.722,718115,27,425.319,4,226,526,-2068,29.739,2730.055,LIMIT,TIME_LIM_SOL,"-1,453.0000","-2,068.0000",29.7389%,1,8.16,3167.60
disneyara_eq_33,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,218.321,4,450,64.124,4,86,138.513,76,282.867,0.597,0.996,0.599,0.102,1270,1270,1615.51,111312,27,280.536,2,82,448,-1634,32.925,351.369,LIMIT,TIME_LIM_SOL,"-1,098.0000","-1,634.0000",32.8029%,45,8.07,3348.38
disneyara_eq_34,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,394.424,3,315,165.969,3,52,250.69,49,561.417,0.765,0.999,0.766,0.053,2656,2656,1922.467,112794,33,553.292,1,51,310,-2410,15.56,706.345,LIMIT,TIME_LIM_SOL,"-2,036.0000","-2,410.0000",15.5187%,9,15.98,3120.50
disneyara_eq_35,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,581.469,5,741,244.45,5,302,341.912,104,826.862,0.731,0.993,0.736,0.061,1828,1828,2099.311,224344,3,793.332,3,261,711,-2164,6.885,1685.517,LIMIT,TIME_LIM_SOL,"-2,015.0000","-2,164.0000",6.8854%,3,12.15,2808.20
disneyara_eq_36,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,495.629,5,820,126.844,5,115,283.017,110,623.279,0.653,0.992,0.658,0.084,1710,1710,1820.856,208148,11,611.529,3,105,806,-1985,31.234,780.513,LIMIT,TIME_LIM_SOL,"-1,365.0000","-1,985.0000",31.2343%,10,9.49,3005.30
disneyara_eq_40,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,18.325,2,127,16.874,1,309,13.53,35,35.325,0.403,0.996,0.405,0.181,1868,1868,172.035,10175,6,13.35,0,9,94,-740,11.081,122.781,LIMIT,TIME_LIM_SOL,-664.0000,-740.0000,10.2703%,75,2.60,3566.70
