Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bank_bad_decomp_auto1_log.txt:FS: 0.325 0.981 0.996 0.984 1.000 0.000 0.003 2 320 2111.300 3776 482 0 0 6.166 3 29 0.279 2 8 5.320 14 6.533 0.981 0.996 0.984 0.003 320 320 2111.300 3776 482 0.048 0 0 0 9.000 0.000 29.830
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bank_good_decomp_auto1_log.txt:FS: 0.321 0.981 0.996 0.984 1.000 0.000 0.003 2 320 2111.300 3776 482 0 0 6.100 3 29 0.283 2 8 5.256 14 6.468 0.981 0.996 0.984 0.003 320 320 2111.300 3776 482 0.045 0 0 0 31.000 0.000 35.161
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/batho_improved_decomp_auto1_log.txt:FS: 1.277 0.636 0.820 0.776 1.000 0.000 0.051 4 19 10939.316 46950 3 0 0 9.460 5 295 1.632 5 182 7.419 71 11.121 0.636 0.820 0.776 0.051 19 19 10939.316 46950 3 0.014 0 0 0 1478.250 0.000 5.613
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/batho_orig_decomp_auto1_log.txt:FS: 1.271 0.588 0.805 0.731 1.000 0.000 0.063 6 42 4984.238 58376 6 0 0 11.049 5 316 2.345 5 234 8.661 78 13.424 0.591 0.836 0.707 0.069 56 56 3702.518 50563 3 0.160 0 0 6 1478.250 0.000 5.514
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bc1_decomp_auto1_log.txt:FS: 0.394 0.002 0.271 0.898 0.009 0.233 0.022 2 2 110286.000 184980 35592 1 0 1.573 3 252 0.389 2 167 1.171 211 2.104 0.055 0.988 0.056 0.577 84 84 15.000 15 15 0.163 0 1 6 2.484 35.453 65.122
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bc_decomp_auto1_log.txt:FS: 0.454 0.003 0.165 0.919 0.017 0.205 0.017 2 4 57053.000 207518 4 1 0 12.541 5 833 1.754 5 635 10.510 541 14.438 0.118 0.994 0.119 0.426 162 162 15.130 36 15 0.719 0 1 79 4.618 51.590 128.840
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bdry0_79_decomp_auto1_log.txt:FS: 0.145 0.415 0.751 0.937 0.590 0.026 0.013 4 25 1480.760 9275 4 1 0 1.213 5 101 0.525 5 287 1.075 40 1.757 0.655 0.872 0.752 0.057 8 8 4365.125 5418 2989 0.715 1 112 39 21.751 2.385 2713.579
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bdry1_79_decomp_auto1_log.txt:FS: 0.145 0.415 0.751 0.937 0.590 0.026 0.013 4 25 1480.760 9275 4 1 0 1.208 5 101 0.521 5 287 1.072 40 1.744 0.655 0.872 0.752 0.057 8 8 4365.125 5418 2989 0.701 1 112 39 24.628 2.140 3356.850
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/beasleyc3_decomp_auto1_log.txt:FS: 0.057 0.293 0.502 0.819 0.712 0.017 0.040 2 14 462.643 3412 2 1 0 0.459 5 180 0.125 5 200 0.379 72 0.590 0.440 0.885 0.497 0.140 33 33 159.273 786 2 0.449 3 147 144 748.129 12.948 69.700
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bell3a_decomp_auto1_log.txt:FS: 0.003 0.519 0.741 0.700 1.000 0.000 0.071 2 5 22.000 38 2 0 0 0.001 1 3 0.000 1 3 0.001 3 0.004 0.519 0.741 0.700 0.071 5 5 22.000 38 2 0.003 0 0 0 873790.113 0.556 0.072
