Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
neos_780889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"3,421,500.0000","3,421,500.0000",0.0000%,1,25.95,35.26
neos_785899,0.074,0.314,0.928,0.431,0.785,0.012,0.168,10,70,78.743,837,2,1,0,0.799,5,178,0.023,5,41,0.704,114,0.826,0.454,0.931,0.487,0.144,17,17,395.235,902,138,0.425,1,19,102,97,4.124,1.636,SOLVED,OPTIMAL,101.0000,101.0000,0.0000%,217,0.46,34.62
neos_785912,0.081,0.249,0.947,0.437,0.602,0.025,0.166,12,76,67.921,695,2,1,0,1.451,4,344,0.039,4,67,1.264,181,1.494,0.457,0.913,0.501,0.138,23,23,292.957,1221,16,1.485,3,52,344,42,1.340781E156,2.398,LIMIT,TIME_LIM_NOSOL,,42.0000,,63169,0.47,3598.40
neos_785914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,38.0000,38.0000,0.0000%,1,0.42,0.46
neos_787933,0.575,0.79,0.994,0.796,0.999,0,0.046,20,1536,44.24,3926,2,1,0,0.109,2,4,0.321,1,54,0.086,2,0.455,0.816,0.989,0.825,0.038,1435,1435,48.353,4577,19,0.103,0,5,4,30,10,28.208,SOLVED,OPTIMAL,30.0000,30.0000,0.0000%,37,1.01,488.54
neos_791021,0.15,0.348,0.887,0.52,0.754,0.014,0.131,4,92,157.293,3913,21,1,0,0.145,3,30,0.077,3,88,0.124,15,0.227,0.508,0.913,0.556,0.117,12,12,1220.5,1521,728,0.056,0,29,4,15,0,0.154,SOLVED,OPTIMAL,15.0000,15.0000,0.0000%,1,0.60,4.15
neos_799711,0.231,0.54,0.844,0.853,0.749,0.014,0.032,7,31,1171.548,9084,2,1,0,1.36,5,139,0.542,5,263,1.154,30,1.911,0.754,0.868,0.868,0.028,8,8,4551.125,5946,2971,0.695,1,98,48,-11194758.54,73.746,153.504,ERROR,FAIL_SOL,"-2,939,068.7330","-11,194,758.5400",73.7460%,1,4.76,180.20
neos_799838,0.268,0.913,0.971,0.94,1,0,0.012,4,35,1071.371,2115,1040,0,0,0.022,1,1,0.001,1,0,0.02,1,0.03,0.913,0.971,0.94,0.012,35,35,1071.371,2115,1040,0.006,0,0,0,1308000,0,101.397,SOLVED,OPTIMAL,"1,308,000.0000","1,308,000.0000",0.0000%,1,1.56,107.17
neos_801834,0.132,0.47,0.749,0.912,0.689,0.019,0.018,4,4,13200,14520,11880,1,0,0.075,2,3,0.059,2,38,0.07,3,0.14,0.364,0.754,0.483,0.146,22,22,2361.818,25080,1280,0.037,0,3,1,47995.848,6.115,211.977,LIMIT,TIME_LIM_SOL,"50,931.0000","48,077.3045",5.9356%,7,0.13,3599.87
neos_803220,0.016,0.107,0.495,0.827,0.261,0.067,0.038,2,2,769,845,693,1,0,0.05,5,58,0.013,5,52,0.038,46,0.067,0.166,0.634,0.262,0.268,3,3,369,531,268,0.053,3,41,46,140.568,42.208,31.469,LIMIT,TIME_LIM_SOL,199.9000,148.3556,34.7438%,252,0.30,3600.12
neos_806323,0.021,0.051,0.497,0.852,0.12,0.106,0.032,2,2,1235,1328,1142,1,0,0.07,5,63,0.02,5,67,0.054,42,0.095,0.254,0.704,0.361,0.204,4,4,456,656,234,0.075,3,49,50,174.636,1.340781E156,48.778,LIMIT,TIME_LIM_NOSOL,,190.7933,,94,0.18,3599.92
