Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bdry1_79_decomp_automatic1_log.txt:FS: 0.017 0.415 0.751 0.937 0.590 0.026 0.013 4 25 1480.760 9275 4 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 24.628 2.140 3485.102
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/beasleyc3_decomp_automatic1_log.txt:FS: 0.006 0.288 0.754 0.720 0.531 0.032 0.066 4 26 233.115 1616 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 747.034 14.720 658.976
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bell3a_decomp_automatic1_log.txt:FS: 0.001 0.347 0.753 0.700 0.659 0.021 0.071 4 6 18.333 36 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 873792.059 0.531 0.105
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bell5_decomp_automatic1_log.txt:FS: 0.001 0.086 0.736 0.490 0.240 0.071 0.143 4 6 20.500 44 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 8957417.778 0.496 0.145
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/berlin52MTZ_decomp_automatic1_log.txt:FS: 0.013 0.260 0.746 0.884 0.394 0.047 0.025 4 50 219.320 3470 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 7163.000 13.332 185.482
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/berlin_5_8_0_decomp_automatic1_log.txt:FS: 0.004 0.134 0.747 0.990 0.181 0.086 0.002 4 4 1139.750 1244 942 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 56.884 21.300 3118.413
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bg512142_decomp_automatic1_log.txt:FS: 0.003 0.285 0.747 0.890 0.428 0.042 0.023 4 5 861.000 1265 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 171976.486 17.802 2431.617
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bglng_decomp_automatic1_log.txt:FS: 0.015 0.911 0.990 0.921 1.000 0.000 0.017 4 99 453.869 942 411 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 -95.428 0.057 3.882
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/biella1_decomp_automatic1_log.txt:FS: 0.043 0.099 0.672 0.152 0.966 0.002 0.377 4 10 1374.500 5729 4 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 3062472.563 6.564 3588.315
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bienst1_decomp_automatic1_log.txt:FS: 0.003 0.190 0.752 0.492 0.513 0.033 0.142 4 6 236.167 413 6 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 38.978 41.746 8.569
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bienst2_decomp_automatic1_log.txt:FS: 0.003 0.120 0.749 0.489 0.328 0.056 0.143 4 18 79.611 480 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 37.766 55.469 17.938
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bier127MTZ_decomp_automatic1_log.txt:FS: 0.052 0.489 0.739 0.957 0.691 0.018 0.009 4 4 17159.250 23189 14412 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 112276.000 30.860 3596.553
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bills_snowflake_decomp_automatic1_log.txt:FS: 0.008 0.293 0.761 0.400 0.961 0.002 0.183 4 13 216.692 1153 10 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 18.546 201.951 4.487
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/binkar10_1_decomp_automatic1_log.txt:FS: 0.003 0.689 0.870 0.792 1.000 0.000 0.047 4 14 206.714 563 4 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 6696.219 0.881 3.910
