Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bdry0_79_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 1.281 5 103 0.513 5 277 1.138 42 1.808 0.656 0.826 0.794 0.046 11 11 3221.273 7365 4 1.799 4 271 103 21.751 2.385 3490.579
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bdry1_79_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 1.277 5 103 0.501 5 277 1.136 42 1.793 0.656 0.826 0.794 0.046 11 11 3221.273 7365 4 1.784 4 271 103 24.628 2.140 3481.312
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/beasleyc3_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.466 5 175 0.122 5 190 0.385 71 0.594 0.440 0.885 0.497 0.140 33 33 159.273 786 2 0.453 3 137 139 748.129 12.948 69.773
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bell3a_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.003 2 6 0.001 1 5 0.002 7 0.008 0.519 0.741 0.700 0.071 5 5 22.000 38 2 0.007 0 3 6 873790.113 0.556 0.072
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bell5_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.006 3 15 0.002 2 8 0.003 15 0.010 0.363 0.461 0.788 0.048 4 4 35.750 101 2 0.007 0 6 7 8963333.530 0.365 0.078
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/berlin52MTZ_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.650 3 117 0.457 3 323 0.574 64 1.113 0.066 0.241 0.273 0.259 522 522 15.469 7033 2 0.320 0 9 43 7163.000 13.332 349.620
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/berlin_5_8_0_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.092 5 52 0.070 5 105 0.071 30 0.165 0.132 0.483 0.274 0.259 2 2 1681.500 1992 1371 0.056 0 30 15 52.997 26.422 3599.384
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bg512142_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.163 5 104 0.053 5 135 0.129 48 0.225 0.515 0.634 0.812 0.042 3 3 1398.333 1894 829 0.142 2 78 68 169552.493 25.551 2622.207
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bglng_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.117 2 10 0.003 2 1 0.102 6 0.126 0.911 0.990 0.921 0.017 99 99 453.869 942 411 0.107 0 0 7 -95.434 0.063 3.271
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bglngship1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 9.097 5 104 0.801 5 42 7.437 32 9.961 0.599 0.938 0.639 0.090 22 22 17528.227 66433 14318 8.521 0 22 99 5862310879.1 0.564 3496.665
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bglngship2_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 15.680 4 196 2.383 4 161 13.147 71 18.111 0.801 0.963 0.831 0.037 29 29 10661.448 12311 3003 7.707 0 37 105 4906412106.6 0.143 227.247
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bglngship3_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 9.858 3 103 0.963 2 47 8.095 31 10.874 0.609 0.945 0.644 0.088 24 24 17484.792 64359 14642 10.393 1 35 103 5877435302.7 0.474 3450.243
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/biella1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 1.968 5 301 0.252 5 142 1.564 133 2.231 0.118 0.713 0.165 0.360 4 4 3471.500 5652 2162 1.369 1 62 178 3062632.182 5.674 3316.317
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bienst1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.055 2 39 0.003 1 12 0.047 30 0.065 0.257 0.815 0.315 0.231 14 14 73.000 363 14 0.056 0 3 33 40.500 36.420 1.613
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bienst2_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.056 2 43 0.003 1 15 0.047 31 0.067 0.251 0.926 0.271 0.261 36 36 25.444 126 14 0.050 0 1 30 36.982 64.947 2.402
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bier127MTZ_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 9.435 5 464 136.748 5 4875 8.058 140 146.264 0.069 0.254 0.271 0.261 3154 3154 14.640 39867 2 5.364 0 11 109 112276.000 19.757 3304.765
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bills_snowflake_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.417 3 114 0.020 2 36 0.354 109 0.440 0.280 0.847 0.331 0.221 14 14 152.429 659 19 0.362 0 15 86 18.546 201.951 10.008
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/binkar10_1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.142 5 102 0.041 5 123 0.114 49 0.186 0.515 0.842 0.612 0.098 59 59 45.898 749 4 0.183 4 114 102 6709.161 0.687 35.736
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/blend2_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.007 2 10 0.000 1 0 0.005 10 0.011 0.678 0.986 0.687 0.075 74 74 4.973 8 2 0.010 0 0 7 7.044 9.548 0.469
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/blp_ar98_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 10.460 5 438 0.344 5 82 8.683 284 10.819 0.481 0.899 0.535 0.125 375 375 109.891 7212 3 3.854 0 6 149 6160.194 3.049 37.809
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/blp_ic97_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 2.759 3 163 0.127 2 59 2.387 153 2.894 0.443 0.860 0.516 0.132 451 451 32.151 4604 2 2.666 1 32 159 3943.697 5.806 49.800
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/blp_ir98_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 2.369 4 206 0.076 4 50 2.036 201 2.451 0.374 0.811 0.461 0.155 292 292 29.493 2727 2 2.420 2 43 203 2323.768 1.401 11.031
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bmik_250_10_100_3_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.015 1 14 0.007 1 35 0.012 13 0.029 0.034 0.083 0.412 0.177 37 37 45.649 1617 2 0.025 0 12 14 -70637.106 0.990 1.875
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bmik_500_5_75_4_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.016 1 21 0.005 1 30 0.012 21 0.023 0.044 0.100 0.439 0.165 25 25 37.400 887 2 0.021 0 13 21 -52317.000 1.298 0.335
